序号,代码,简称,事件类型,具体事项,交易日
1,code.000730,*ST环保,对外担保,"沈阳天创信息科技股份有限公司(以下简称“公司”)全资子公司湖南天创碳和能源科技有限公司(以下简称“天创碳和”)因项目建设需要,拟向湖南湘江新区农村商业银行股份有限公司科技支行申请人民币500万元贷款。公司拟为天创碳和前述人民币500万元贷款提供连带责任保证担保,保证期间为债务履行期间届满(包括债务履行期间提前届满)之日起三年,担保范围为贷款本金及基于该本金所发生的利息(包括法定利息、约定利息、逾期利息、复利、罚息)和违约金、债权人依据合同约定提前收贷产生的可得利息损失、损害赔偿金以及债权人实现债权的费用(包括但不限于应付和已付的诉讼费用、仲裁费用、律师费用、公证费用、抵押物处置费用、执行费用等)等其他应付费用。",2025-06-16
2,code.300134,大富科技,资产重组,"根据公司整体战略规划,结合当前业务发展的需求,公司拟转让控股子公司深圳市配天智造装备股份有限公司部分股权,公司持有配天智造90.49%股权,此次拟将持有的配天智造27%的股权以人民币19,220.7411万元的价格转让给怀远县大禹产业投资集团有限公司。本次交易完成后,公司持有配天智造63.49%的股权,仍然是配天智造的控股股东,本次交易不会导致公司合并范围发生变化。",2025-06-16
3,code.300173,ST福能,对外担保,"近日,公司向上海浦东发展银行股份有限公司佛山分行(以下简称“浦发银行”)申请了人民币7,000万元整、期限不超过12个月的综合授信敞口额度(以下简称“本次授信”)。根据浦发银行要求,公司本次授信需要公司控股股东佛山市投资控股集团有限公司(以下简称“佛山控股集团”)按照其持有公司20.77%的股份比例提供连带责任保证担保、全资子公司东莞市超业精密设备有限公司(以下简称“超业精密”)提供连带责任保证担保。",2025-06-16
4,code.300210,森远股份,对外担保,"吉林省公路机械有限公司(以下简称“吉公机械”)为公司的全资子公司。为经营需要,吉公机械拟向吉林银行股份有限公司吉林船营支行办理总额不超过人民币800万元的银行授信,用于补充流动资金需求,期限为一年。公司为其提供连带责任担保,担保期限等相关事项按照公司与吉林银行股份有限公司吉林船营支行签署的相关合同执行。",2025-06-16
5,code.300232,洲明科技,股份质押,"公司股东林洺锋将持有的本公司股份1700万股质押给国泰海通证券股份有限公司,质押起始日2025/06/12至质押解除日2026/06/12并于2025年06月12日办理质押登记手续。",2025-06-16
6,code.300268,*ST佳沃,对外担保,"公司境外子公司FoodInvestmentSpA(以下简称“Food”)为偿还银行借款及补充日常营运资金,向控股股东佳沃集团有限公司(以下简称“佳沃集团”)的控股子公司QuafoodLimited申请无息借款11,352万美元,拟由公司及公司全资子公司北京佳沃臻诚科技有限公司(以下简称“北京臻诚”)为上述借款提供担保。QuafoodLimited作为贷款人、Food作为借款人、佳沃食品及北京臻诚作为担保人共同签署了《QuafoodLimited与FoodInvestmentSpA的借款协议》,协议约定本次借款涉及的担保事项须经佳沃食品有权机构审批通过后生效。公司拟将持有的北京臻诚100%的股权(以下简称“标的资产”、“标的公司”或“佳沃臻诚”)转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“本次交易”)。2025年6月16日,公司召开2025年第三次临时股东大会,审议通过了公司将持有的北京臻诚100%的股权转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“佳沃品鲜”)的相关议案。根据审议通过的《关于公司签署附条件生效的<股权转让协议>暨关联交易的议案》及《关于公司签署附条件生效的<股权转让协议之补充协议>暨关联交易的议案》的约定,公司与佳沃品鲜、北京臻诚签订的《股权转让协议》及《<股权转让协议>之补充协议》已满足生效条件,上述协议已具有相应的法律效力。2025年6月16日,公司根据《股权转让协议》的约定,针对前述5笔为境外子公司AMSA和Food向Quafood提供的担保事项,公司与Quafood签署相对应的5个《关于<最高额保证合同>之解除协议》。根据《关于<最高额保证合同>之解除协议》的相关约定,本次担保义务解除后,公司无需再就原合同项下主债权向债权人承担连带责任保证担保。在相应法律程序和生效条件得到满足、相关协议得到本次交易相关各方切实履行的情形下,本次解除担保责任有利于维护上市公司及中小股东的利益。",2025-06-16
7,code.300268,*ST佳沃,对外担保,"公司境外子公司AustralisMarS.A.(以下简称“AMSA”)为补充日常营运资金,向控股股东佳沃集团的控股子公司QuafoodLimited申请无息借款370.31万美元,拟由公司及公司全资子公司北京臻诚为上述借款提供担保。QuafoodLimited作为贷款人、AMSA作为借款人、佳沃食品及北京臻诚作为担保人共同签署了《QuafoodLimited与AustralisMarS.A.的借款协议》,协议约定本次借款涉及的担保事项须经佳沃食品有权机构审批通过后生效。公司拟将持有的北京臻诚100%的股权(以下简称“标的资产”、“标的公司”或“佳沃臻诚”)转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“本次交易”)。2025年6月16日,公司召开2025年第三次临时股东大会,审议通过了公司将持有的北京臻诚100%的股权转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“佳沃品鲜”)的相关议案。根据审议通过的《关于公司签署附条件生效的<股权转让协议>暨关联交易的议案》及《关于公司签署附条件生效的<股权转让协议之补充协议>暨关联交易的议案》的约定,公司与佳沃品鲜、北京臻诚签订的《股权转让协议》及《<股权转让协议>之补充协议》已满足生效条件,上述协议已具有相应的法律效力。2025年6月16日,公司根据《股权转让协议》的约定,针对前述5笔为境外子公司AMSA和Food向Quafood提供的担保事项,公司与Quafood签署相对应的5个《关于<最高额保证合同>之解除协议》。根据《关于<最高额保证合同>之解除协议》的相关约定,本次担保义务解除后,公司无需再就原合同项下主债权向债权人承担连带责任保证担保。在相应法律程序和生效条件得到满足、相关协议得到本次交易相关各方切实履行的情形下,本次解除担保责任有利于维护上市公司及中小股东的利益。",2025-06-16
8,code.300268,*ST佳沃,对外担保,"公司境外子公司Australis Mar S.A.(以下简称“AMSA”)为偿还中国银行股份有限公司澳门分行1.3亿美元再融资中的部分款项,向控股股东佳沃集团的控股子公司Quafood Limited(以下简称“Quafood”)申请无息借款5,200万美元,公司及下属子公司北京佳沃臻诚科技有限公司(以下简称“北京臻诚”)作为担保人与Quafood分别签署了《最高额保证合同》,为上述借款提供担保,公司及下属子公司北京臻诚本次担保额度合计不超过5,200万美元的本金余额。本次公司提供担保及子公司互保事项属于已审议通过的担保事项范围,且担保金额在担保额度范围内,无需再次提交公司董事会审议。公司拟将持有的北京臻诚100%的股权(以下简称“标的资产”、“标的公司”或“佳沃臻诚”)转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“本次交易”)。2025年6月16日,公司召开2025年第三次临时股东大会,审议通过了公司将持有的北京臻诚100%的股权转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“佳沃品鲜”)的相关议案。根据审议通过的《关于公司签署附条件生效的<股权转让协议>暨关联交易的议案》及《关于公司签署附条件生效的<股权转让协议之补充协议>暨关联交易的议案》的约定,公司与佳沃品鲜、北京臻诚签订的《股权转让协议》及《<股权转让协议>之补充协议》已满足生效条件,上述协议已具有相应的法律效力。2025年6月16日,公司根据《股权转让协议》的约定,针对前述5笔为境外子公司AMSA和Food向Quafood提供的担保事项,公司与Quafood签署相对应的5个《关于<最高额保证合同>之解除协议》。根据《关于<最高额保证合同>之解除协议》的相关约定,本次担保义务解除后,公司无需再就原合同项下主债权向债权人承担连带责任保证担保。在相应法律程序和生效条件得到满足、相关协议得到本次交易相关各方切实履行的情形下,本次解除担保责任有利于维护上市公司及中小股东的利益。",2025-06-16
9,code.300268,*ST佳沃,对外担保,"公司境外子公司Australis Mar S.A.(以下简称“AMSA”)为偿还中国银行股份有限公司澳门分行1.3亿美元再融资中的部分款项,向控股股东佳沃集团的控股子公司Quafood Limited(以下简称“Quafood”)申请无息借款1,300万美元,公司及下属子公司北京佳沃臻诚科技有限公司(以下简称“北京臻诚”)作为担保人与Quafood分别签署了《最高额保证合同》,为上述借款提供担保,公司及下属子公司北京臻诚本次担保额度合计不超过1,300万美元的本金余额。公司拟将持有的北京臻诚100%的股权(以下简称“标的资产”、“标的公司”或“佳沃臻诚”)转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“本次交易”)。2025年6月16日,公司召开2025年第三次临时股东大会,审议通过了公司将持有的北京臻诚100%的股权转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“佳沃品鲜”)的相关议案。根据审议通过的《关于公司签署附条件生效的<股权转让协议>暨关联交易的议案》及《关于公司签署附条件生效的<股权转让协议之补充协议>暨关联交易的议案》的约定,公司与佳沃品鲜、北京臻诚签订的《股权转让协议》及《<股权转让协议>之补充协议》已满足生效条件,上述协议已具有相应的法律效力。2025年6月16日,公司根据《股权转让协议》的约定,针对前述5笔为境外子公司AMSA和Food向Quafood提供的担保事项,公司与Quafood签署相对应的5个《关于<最高额保证合同>之解除协议》。根据《关于<最高额保证合同>之解除协议》的相关约定,本次担保义务解除后,公司无需再就原合同项下主债权向债权人承担连带责任保证担保。在相应法律程序和生效条件得到满足、相关协议得到本次交易相关各方切实履行的情形下,本次解除担保责任有利于维护上市公司及中小股东的利益。",2025-06-16
10,code.300268,*ST佳沃,对外担保,"公司境外子公司Australis Mar S.A.(以下简称“AMSA”)为偿还中国银行股份有限公司澳门分行1.3亿美元再融资中的剩余款项,向控股股东佳沃集团的控股子公司Quafood Limited(以下简称“Quafood”)申请无息借款6,500万美元,借款形式为见索即付,Quafood应至少提前30天向AMSA发出书面通知,告知AMSA其要求还款的意向。公司及下属子公司北京佳沃臻诚科技有限公司(以下简称“北京臻诚”)作为担保人与Quafood分别签署了《最高额保证合同》,为上述借款提供担保,公司及下属子公司北京臻诚本次担保额度合计不超过6,500万美元的本金余额。本次公司提供担保及子公司互保事项属于已审议通过的担保事项范围,且担保金额在担保额度范围内,无需再次提交公司董事会审议。公司拟将持有的北京臻诚100%的股权(以下简称“标的资产”、“标的公司”或“佳沃臻诚”)转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“本次交易”)。2025年6月16日,公司召开2025年第三次临时股东大会,审议通过了公司将持有的北京臻诚100%的股权转让给佳沃集团全资子公司佳沃品鲜(北京)企业管理有限公司(以下简称“佳沃品鲜”)的相关议案。根据审议通过的《关于公司签署附条件生效的<股权转让协议>暨关联交易的议案》及《关于公司签署附条件生效的<股权转让协议之补充协议>暨关联交易的议案》的约定,公司与佳沃品鲜、北京臻诚签订的《股权转让协议》及《<股权转让协议>之补充协议》已满足生效条件,上述协议已具有相应的法律效力。2025年6月16日,公司根据《股权转让协议》的约定,针对前述5笔为境外子公司AMSA和Food向Quafood提供的担保事项,公司与Quafood签署相对应的5个《关于<最高额保证合同>之解除协议》。根据《关于<最高额保证合同>之解除协议》的相关约定,本次担保义务解除后,公司无需再就原合同项下主债权向债权人承担连带责任保证担保。在相应法律程序和生效条件得到满足、相关协议得到本次交易相关各方切实履行的情形下,本次解除担保责任有利于维护上市公司及中小股东的利益。",2025-06-16
